starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 31 11:28:12 2020	1585628892	137	2243	2380	1370
Tue Mar 31 11:28:12 2020	1585628892	134	2310	2445	1377
Tue Mar 31 11:28:14 2020	1585628894	177	2270	2448	2186
Tue Mar 31 11:28:14 2020	1585628894	178	2270	2448	1453
Tue Mar 31 11:28:14 2020	1585628894	178	2270	2448	1480
Tue Mar 31 11:28:14 2020	1585628894	178	2270	2448	1453
Tue Mar 31 11:28:14 2020	1585628894	178	2271	2449	2122
Tue Mar 31 11:28:14 2020	1585628894	198	2252	2450	1462
Tue Mar 31 11:28:14 2020	1585628894	194	2256	2450	2104
Tue Mar 31 11:28:13 2020	1585628893	290	2163	2453	1385
Tue Mar 31 11:28:13 2020	1585628893	290	2164	2454	1444
Tue Mar 31 11:28:13 2020	1585628893	299	2155	2454	1446
Tue Mar 31 11:28:13 2020	1585628893	290	2164	2454	1385
Tue Mar 31 11:28:13 2020	1585628893	292	2164	2455	1386
Tue Mar 31 11:28:13 2020	1585628893	293	2164	2456	1386
Tue Mar 31 11:28:13 2020	1585628893	239	2231	2471	1453
Tue Mar 31 11:28:13 2020	1585628893	240	2231	2471	1453
Tue Mar 31 11:28:13 2020	1585628893	240	2231	2471	1453
Tue Mar 31 11:28:13 2020	1585628893	240	2232	2472	1453
Tue Mar 31 11:28:13 2020	1585628893	242	2230	2472	1453
Tue Mar 31 11:28:13 2020	1585628893	240	2232	2472	1453
Tue Mar 31 11:28:13 2020	1585628893	243	2230	2473	1450
Tue Mar 31 11:28:13 2020	1585628893	309	2164	2473	1455
Tue Mar 31 11:28:13 2020	1585628893	243	2231	2474	1450
Tue Mar 31 11:28:13 2020	1585628893	243	2231	2474	1453
Tue Mar 31 11:28:13 2020	1585628893	244	2231	2475	1454
Tue Mar 31 11:28:13 2020	1585628893	244	2231	2475	1453
Tue Mar 31 11:28:14 2020	1585628894	121	2369	2490	1551
Tue Mar 31 11:28:14 2020	1585628894	121	2369	2491	1551
Tue Mar 31 11:28:14 2020	1585628894	122	2369	2491	1492
Tue Mar 31 11:28:14 2020	1585628894	162	2330	2492	1512
Tue Mar 31 11:28:14 2020	1585628894	162	2330	2493	1512
Tue Mar 31 11:28:14 2020	1585628894	122	2371	2493	1553
Tue Mar 31 11:28:14 2020	1585628894	124	2370	2494	1553
Tue Mar 31 11:28:14 2020	1585628894	123	2370	2494	1553
Tue Mar 31 11:28:14 2020	1585628894	124	2370	2494	1553
Tue Mar 31 11:28:14 2020	1585628894	124	2370	2494	1553
Tue Mar 31 11:28:14 2020	1585628894	124	2370	2494	1553
Tue Mar 31 11:28:14 2020	1585628894	171	2334	2504	1516
Tue Mar 31 11:28:11 2020	1585628891	268	2374	2642	1493
Tue Mar 31 11:28:11 2020	1585628891	270	2377	2648	1495
Tue Mar 31 11:28:11 2020	1585628891	201	2450	2651	1505
Tue Mar 31 11:28:11 2020	1585628891	202	2450	2652	1504
Tue Mar 31 11:28:11 2020	1585628891	202	2450	2653	1505
Tue Mar 31 11:28:11 2020	1585628891	202	2451	2653	1504
Tue Mar 31 11:28:11 2020	1585628891	203	2451	2653	1571
Tue Mar 31 11:28:11 2020	1585628891	204	2450	2654	1507
Tue Mar 31 11:28:11 2020	1585628891	203	2451	2654	1504
Tue Mar 31 11:28:11 2020	1585628891	281	2373	2654	1493
Tue Mar 31 11:28:11 2020	1585628891	282	2373	2654	1493
Tue Mar 31 11:28:11 2020	1585628891	282	2373	2655	1492
Tue Mar 31 11:28:11 2020	1585628891	299	2394	2693	1471
Tue Mar 31 11:28:11 2020	1585628891	272	2426	2697	1502
Tue Mar 31 11:28:10 2020	1585628890	459	2268	2727	1614
Tue Mar 31 11:28:10 2020	1585628890	460	2268	2727	1600
Tue Mar 31 11:28:10 2020	1585628890	458	2269	2728	1600
Tue Mar 31 11:28:10 2020	1585628890	462	2267	2729	1600
Tue Mar 31 11:28:10 2020	1585628890	460	2270	2730	1614
Tue Mar 31 11:28:10 2020	1585628890	459	2272	2730	1618
Tue Mar 31 11:28:10 2020	1585628890	462	2268	2730	1614
Tue Mar 31 11:28:10 2020	1585628890	463	2268	2731	1601
Tue Mar 31 11:28:10 2020	1585628890	460	2271	2732	1619
Tue Mar 31 11:28:10 2020	1585628890	462	2270	2732	1600
Tue Mar 31 11:28:10 2020	1585628890	461	2271	2732	1618
Tue Mar 31 11:28:10 2020	1585628890	681	2051	2732	1396
Tue Mar 31 11:28:10 2020	1585628890	462	2270	2732	1601
Tue Mar 31 11:28:10 2020	1585628890	462	2270	2732	1614
Tue Mar 31 11:28:10 2020	1585628890	460	2272	2732	1618
Tue Mar 31 11:28:10 2020	1585628890	464	2268	2732	1601
Tue Mar 31 11:28:10 2020	1585628890	462	2271	2733	1618
Tue Mar 31 11:28:10 2020	1585628890	462	2271	2733	1619
Tue Mar 31 11:28:10 2020	1585628890	463	2271	2734	1615
Tue Mar 31 11:28:10 2020	1585628890	463	2272	2735	1619
Tue Mar 31 11:28:10 2020	1585628890	465	2271	2736	1619
Tue Mar 31 11:28:10 2020	1585628890	464	2273	2737	1619
Tue Mar 31 11:28:10 2020	1585628890	464	2273	2738	1619
Tue Mar 31 11:28:12 2020	1585628892	384	2362	2746	1583
Tue Mar 31 11:28:12 2020	1585628892	385	2362	2747	1582
Tue Mar 31 11:28:12 2020	1585628892	385	2362	2747	1582
Tue Mar 31 11:28:12 2020	1585628892	385	2362	2747	1582
Tue Mar 31 11:28:10 2020	1585628890	480	2268	2748	1601
Tue Mar 31 11:28:12 2020	1585628892	386	2362	2748	1582
Tue Mar 31 11:28:12 2020	1585628892	386	2362	2748	1582
Tue Mar 31 11:28:12 2020	1585628892	385	2363	2748	1586
Tue Mar 31 11:28:10 2020	1585628890	480	2269	2749	1615
Tue Mar 31 11:28:10 2020	1585628890	480	2269	2749	1602
Tue Mar 31 11:28:10 2020	1585628890	481	2268	2749	1601
Tue Mar 31 11:28:12 2020	1585628892	386	2363	2749	1582
Tue Mar 31 11:28:10 2020	1585628890	100	2649	2749	1982
Tue Mar 31 11:28:10 2020	1585628890	480	2269	2749	1615
Tue Mar 31 11:28:10 2020	1585628890	484	2266	2750	1612
Tue Mar 31 11:28:10 2020	1585628890	481	2269	2750	1615
Tue Mar 31 11:28:10 2020	1585628890	485	2266	2751	1612
Tue Mar 31 11:28:10 2020	1585628890	481	2271	2752	1602
Tue Mar 31 11:28:10 2020	1585628890	480	2272	2752	1619
Tue Mar 31 11:28:10 2020	1585628890	480	2274	2753	1620
Tue Mar 31 11:28:10 2020	1585628890	480	2274	2754	1620
Tue Mar 31 11:28:10 2020	1585628890	481	2274	2755	1620
Tue Mar 31 11:28:12 2020	1585628892	308	2452	2760	1177
Tue Mar 31 11:28:12 2020	1585628892	314	2450	2764	1671
Tue Mar 31 11:28:12 2020	1585628892	403	2361	2764	1582
Tue Mar 31 11:28:12 2020	1585628892	306	2459	2765	1182
Tue Mar 31 11:28:12 2020	1585628892	308	2461	2769	1182
Tue Mar 31 11:28:12 2020	1585628892	308	2461	2769	1184
Tue Mar 31 11:28:12 2020	1585628892	305	2465	2770	1248
Tue Mar 31 11:28:12 2020	1585628892	311	2460	2770	1182
Tue Mar 31 11:28:12 2020	1585628892	312	2460	2772	1177
Tue Mar 31 11:28:12 2020	1585628892	306	2467	2773	1258
Tue Mar 31 11:28:12 2020	1585628892	305	2468	2773	1677
Tue Mar 31 11:28:12 2020	1585628892	305	2470	2774	1691
Tue Mar 31 11:28:12 2020	1585628892	306	2469	2774	1690
Tue Mar 31 11:28:12 2020	1585628892	309	2466	2775	1256
Tue Mar 31 11:28:12 2020	1585628892	308	2467	2776	1277
Tue Mar 31 11:28:12 2020	1585628892	308	2469	2776	1690
Tue Mar 31 11:28:12 2020	1585628892	308	2469	2777	1690
Tue Mar 31 11:28:12 2020	1585628892	308	2469	2777	1690
Tue Mar 31 11:28:12 2020	1585628892	329	2449	2778	1670
Tue Mar 31 11:28:12 2020	1585628892	309	2469	2778	1691
Tue Mar 31 11:28:12 2020	1585628892	309	2469	2778	1690
Tue Mar 31 11:28:12 2020	1585628892	310	2469	2780	1691
Tue Mar 31 11:28:12 2020	1585628892	310	2472	2782	1691
Tue Mar 31 11:28:12 2020	1585628892	314	2469	2783	1678
Tue Mar 31 11:28:10 2020	1585628890	680	2105	2785	1396
Tue Mar 31 11:28:12 2020	1585628892	51	2735	2785	1452
Tue Mar 31 11:28:10 2020	1585628890	459	2327	2785	1618
Tue Mar 31 11:28:10 2020	1585628890	681	2105	2786	1396
Tue Mar 31 11:28:10 2020	1585628890	460	2327	2786	1618
Tue Mar 31 11:28:12 2020	1585628892	325	2462	2787	1183
Tue Mar 31 11:28:12 2020	1585628892	325	2467	2792	1257
Tue Mar 31 11:28:12 2020	1585628892	326	2467	2793	1256
Tue Mar 31 11:28:12 2020	1585628892	325	2468	2793	1259
Tue Mar 31 11:28:12 2020	1585628892	326	2469	2795	1691
Tue Mar 31 11:28:12 2020	1585628892	325	2470	2795	1691
Tue Mar 31 11:28:12 2020	1585628892	325	2472	2797	1691
Tue Mar 31 11:28:12 2020	1585628892	326	2472	2798	1691
Tue Mar 31 11:28:10 2020	1585628890	480	2327	2807	1619
Tue Mar 31 11:28:10 2020	1585628890	481	2328	2809	1620
Tue Mar 31 11:28:12 2020	1585628892	134	2746	2880	1472
Tue Mar 31 11:28:12 2020	1585628892	137	2745	2883	1471
Tue Mar 31 11:28:12 2020	1585628892	138	2745	2883	1438
Tue Mar 31 11:28:11 2020	1585628891	251	2648	2899	1471
Tue Mar 31 11:28:11 2020	1585628891	252	2647	2899	1472
Tue Mar 31 11:28:11 2020	1585628891	268	2632	2900	1468
Tue Mar 31 11:28:11 2020	1585628891	254	2648	2902	1485
Tue Mar 31 11:28:11 2020	1585628891	254	2648	2902	1485
Tue Mar 31 11:28:11 2020	1585628891	254	2648	2902	1472
Tue Mar 31 11:28:11 2020	1585628891	254	2649	2903	1485
Tue Mar 31 11:28:11 2020	1585628891	255	2648	2903	1472
Tue Mar 31 11:28:11 2020	1585628891	255	2648	2903	1472
Tue Mar 31 11:28:11 2020	1585628891	254	2649	2903	1485
Tue Mar 31 11:28:11 2020	1585628891	255	2649	2903	1485
Tue Mar 31 11:28:11 2020	1585628891	255	2649	2904	1485
Tue Mar 31 11:28:11 2020	1585628891	256	2648	2904	1472
Tue Mar 31 11:28:12 2020	1585628892	803	2101	2904	1317
Tue Mar 31 11:28:12 2020	1585628892	803	2102	2905	1318
Tue Mar 31 11:28:11 2020	1585628891	256	2649	2905	1485
Tue Mar 31 11:28:11 2020	1585628891	256	2649	2905	1486
Tue Mar 31 11:28:12 2020	1585628892	805	2102	2906	1318
Tue Mar 31 11:28:12 2020	1585628892	803	2104	2906	1319
Tue Mar 31 11:28:12 2020	1585628892	805	2102	2907	1318
Tue Mar 31 11:28:12 2020	1585628892	803	2104	2908	1318
Tue Mar 31 11:28:11 2020	1585628891	256	2652	2908	1472
Tue Mar 31 11:28:11 2020	1585628891	256	2652	2908	1486
Tue Mar 31 11:28:12 2020	1585628892	805	2104	2909	1318
Tue Mar 31 11:28:12 2020	1585628892	550	2361	2912	1138
Tue Mar 31 11:28:10 2020	1585628890	665	2253	2917	1399
Tue Mar 31 11:28:12 2020	1585628892	549	2373	2921	1555
Tue Mar 31 11:28:12 2020	1585628892	549	2373	2922	1555
Tue Mar 31 11:28:12 2020	1585628892	550	2373	2923	1555
Tue Mar 31 11:28:12 2020	1585628892	551	2373	2924	1556
Tue Mar 31 11:28:12 2020	1585628892	550	2374	2924	1556
Tue Mar 31 11:28:12 2020	1585628892	552	2373	2925	1555
Tue Mar 31 11:28:12 2020	1585628892	549	2376	2925	1560
Tue Mar 31 11:28:12 2020	1585628892	549	2376	2926	1560
Tue Mar 31 11:28:12 2020	1585628892	553	2373	2926	1556
Tue Mar 31 11:28:12 2020	1585628892	549	2377	2926	1560
Tue Mar 31 11:28:12 2020	1585628892	550	2377	2927	1561
Tue Mar 31 11:28:12 2020	1585628892	550	2377	2927	1560
Tue Mar 31 11:28:12 2020	1585628892	550	2378	2928	1595
Tue Mar 31 11:28:12 2020	1585628892	550	2377	2928	1595
Tue Mar 31 11:28:12 2020	1585628892	549	2379	2928	1596
Tue Mar 31 11:28:12 2020	1585628892	549	2379	2928	1562
Tue Mar 31 11:28:12 2020	1585628892	552	2377	2929	1561
Tue Mar 31 11:28:12 2020	1585628892	550	2379	2929	1597
Tue Mar 31 11:28:12 2020	1585628892	550	2380	2929	1597
Tue Mar 31 11:28:12 2020	1585628892	552	2377	2930	1562
Tue Mar 31 11:28:12 2020	1585628892	550	2381	2930	1597
Tue Mar 31 11:28:12 2020	1585628892	551	2379	2930	1597
Tue Mar 31 11:28:12 2020	1585628892	550	2380	2931	1597
Tue Mar 31 11:28:12 2020	1585628892	553	2378	2931	1561
Tue Mar 31 11:28:12 2020	1585628892	551	2380	2931	1597
Tue Mar 31 11:28:12 2020	1585628892	551	2380	2931	1597
Tue Mar 31 11:28:12 2020	1585628892	549	2382	2932	1561
Tue Mar 31 11:28:12 2020	1585628892	550	2381	2932	1560
Tue Mar 31 11:28:12 2020	1585628892	550	2382	2932	1561
Tue Mar 31 11:28:12 2020	1585628892	552	2381	2933	1597
Tue Mar 31 11:28:12 2020	1585628892	552	2381	2933	1560
Tue Mar 31 11:28:12 2020	1585628892	553	2383	2935	1561
Tue Mar 31 11:28:12 2020	1585628892	554	2382	2936	1595
Tue Mar 31 11:28:10 2020	1585628890	195	2743	2937	2011
Tue Mar 31 11:28:12 2020	1585628892	799	2140	2938	1325
Tue Mar 31 11:28:12 2020	1585628892	799	2140	2939	1325
Tue Mar 31 11:28:12 2020	1585628892	803	2141	2945	1327
Tue Mar 31 11:28:10 2020	1585628890	199	2747	2946	2081
Tue Mar 31 11:28:12 2020	1585628892	578	2374	2952	1227
Tue Mar 31 11:28:12 2020	1585628892	579	2375	2953	1556
Tue Mar 31 11:28:12 2020	1585628892	137	2819	2955	1438
Tue Mar 31 11:28:12 2020	1585628892	136	2819	2955	1473
Tue Mar 31 11:28:12 2020	1585628892	581	2375	2956	1557
Tue Mar 31 11:28:12 2020	1585628892	578	2378	2956	1562
Tue Mar 31 11:28:12 2020	1585628892	578	2378	2957	1562
Tue Mar 31 11:28:12 2020	1585628892	579	2378	2957	1562
Tue Mar 31 11:28:12 2020	1585628892	578	2380	2958	1597
Tue Mar 31 11:28:12 2020	1585628892	579	2379	2958	1562
Tue Mar 31 11:28:12 2020	1585628892	582	2376	2959	1560
Tue Mar 31 11:28:12 2020	1585628892	582	2378	2960	1557
Tue Mar 31 11:28:12 2020	1585628892	582	2379	2961	1597
Tue Mar 31 11:28:12 2020	1585628892	583	2379	2962	1562
Tue Mar 31 11:28:12 2020	1585628892	579	2383	2962	1562
Tue Mar 31 11:28:12 2020	1585628892	582	2380	2962	1598
Tue Mar 31 11:28:11 2020	1585628891	335	2628	2963	1353
Tue Mar 31 11:28:12 2020	1585628892	830	2140	2970	1326
Tue Mar 31 11:28:13 2020	1585628893	486	2492	2979	1616
Tue Mar 31 11:28:11 2020	1585628891	294	2712	3006	1357
Tue Mar 31 11:28:11 2020	1585628891	241	2783	3024	1448
Tue Mar 31 11:28:11 2020	1585628891	293	2829	3122	1653
Tue Mar 31 11:28:11 2020	1585628891	293	2829	3123	1654
Tue Mar 31 11:28:11 2020	1585628891	475	2653	3128	1576
Tue Mar 31 11:28:13 2020	1585628893	626	2518	3144	1500
Tue Mar 31 11:28:11 2020	1585628891	298	2847	3145	1573
Tue Mar 31 11:28:13 2020	1585628893	629	2521	3150	1509
Tue Mar 31 11:28:13 2020	1585628893	663	2518	3181	1636
Tue Mar 31 11:28:13 2020	1585628893	626	2558	3184	1681
Tue Mar 31 11:28:13 2020	1585628893	630	2559	3189	1693
Tue Mar 31 11:28:10 2020	1585628890	552	2763	3315	1844
Tue Mar 31 11:28:10 2020	1585628890	567	2750	3316	2080
Tue Mar 31 11:28:10 2020	1585628890	578	2739	3317	2011
Tue Mar 31 11:28:10 2020	1585628890	562	2763	3325	1844
Tue Mar 31 11:28:10 2020	1585628890	563	2766	3329	1843
Tue Mar 31 11:28:10 2020	1585628890	668	2729	3397	1417
Tue Mar 31 11:28:12 2020	1585628892	804	2660	3464	1328
Tue Mar 31 11:28:10 2020	1585628890	659	2860	3520	1572
Tue Mar 31 11:28:10 2020	1585628890	660	2900	3560	1725
Tue Mar 31 11:28:10 2020	1585628890	660	2900	3560	1724
Tue Mar 31 11:28:10 2020	1585628890	659	2904	3564	1724
Tue Mar 31 11:28:10 2020	1585628890	664	2901	3564	1725
Tue Mar 31 11:28:10 2020	1585628890	663	2905	3569	1725
Tue Mar 31 11:28:12 2020	1585628892	802	2768	3570	1382
Tue Mar 31 11:28:12 2020	1585628892	804	2770	3574	1389
Tue Mar 31 11:28:12 2020	1585628892	805	2770	3574	1389
Tue Mar 31 11:28:12 2020	1585628892	800	2780	3579	1505
Tue Mar 31 11:28:12 2020	1585628892	802	2780	3582	1506
Tue Mar 31 11:28:12 2020	1585628892	805	2781	3586	1506
Tue Mar 31 11:28:12 2020	1585628892	804	2788	3592	1506
Tue Mar 31 11:28:12 2020	1585628892	805	2788	3593	1506
Tue Mar 31 11:28:12 2020	1585628892	829	2769	3599	1391
Tue Mar 31 11:28:10 2020	1585628890	1503	2318	3821	1445
Tue Mar 31 11:28:10 2020	1585628890	1479	2344	3823	1471
Tue Mar 31 11:28:10 2020	1585628890	1487	2342	3829	1462
Tue Mar 31 11:28:10 2020	1585628890	1462	2374	3836	1493
Tue Mar 31 11:28:10 2020	1585628890	1398	2452	3850	1509
Tue Mar 31 11:28:10 2020	1585628890	1417	2453	3869	1573
Tue Mar 31 11:28:10 2020	1585628890	1425	2451	3876	1506
Tue Mar 31 11:28:10 2020	1585628890	1424	2454	3877	1573
Tue Mar 31 11:28:10 2020	1585628890	1438	2449	3887	1288
Tue Mar 31 11:28:10 2020	1585628890	1438	2451	3889	1506
Tue Mar 31 11:28:10 2020	1585628890	1441	2450	3891	1570
Tue Mar 31 11:28:10 2020	1585628890	1443	2450	3893	1288
Tue Mar 31 11:28:10 2020	1585628890	1444	2452	3896	1506
Tue Mar 31 11:28:06 2020	1585628886	3885	60	3945	60
Tue Mar 31 11:28:06 2020	1585628886	3886	59	3945	59
Tue Mar 31 11:28:06 2020	1585628886	3886	61	3947	60
Tue Mar 31 11:28:10 2020	1585628890	1340	2829	4169	1648
Tue Mar 31 11:28:10 2020	1585628890	1521	2648	4169	1472
Tue Mar 31 11:28:10 2020	1585628890	1340	2829	4169	1654
Tue Mar 31 11:28:05 2020	1585628885	1907	3331	5237	3325
Tue Mar 31 11:28:05 2020	1585628885	1907	3333	5239	3327
Tue Mar 31 11:28:05 2020	1585628885	1906	3335	5240	3328
Tue Mar 31 11:28:05 2020	1585628885	1911	3331	5242	3326
Tue Mar 31 11:28:05 2020	1585628885	1905	3340	5246	3330
Tue Mar 31 11:28:05 2020	1585628885	1905	3341	5246	3331
Tue Mar 31 11:28:05 2020	1585628885	1906	3341	5246	3330
Tue Mar 31 11:28:05 2020	1585628885	1905	3344	5249	3333
Tue Mar 31 11:28:05 2020	1585628885	1908	3346	5253	3339
Tue Mar 31 11:28:05 2020	1585628885	1908	3346	5255	3339
Tue Mar 31 11:28:05 2020	1585628885	1910	3346	5256	3340
Tue Mar 31 11:28:05 2020	1585628885	1900	3630	5530	3625
Tue Mar 31 11:28:05 2020	1585628885	1907	3623	5530	3340
Tue Mar 31 11:28:05 2020	1585628885	1906	3629	5535	3623
Tue Mar 31 11:28:05 2020	1585628885	1905	3631	5536	3627
Tue Mar 31 11:28:05 2020	1585628885	1905	3631	5536	3626
Tue Mar 31 11:28:05 2020	1585628885	1910	3628	5539	3625
Tue Mar 31 11:28:05 2020	1585628885	1904	3643	5547	3629
Tue Mar 31 11:28:05 2020	1585628885	1906	3643	5549	3642
Tue Mar 31 11:28:05 2020	1585628885	1903	3652	5556	3644
Tue Mar 31 11:28:05 2020	1585628885	1905	3672	5577	3644
Tue Mar 31 11:28:05 2020	1585628885	1909	3673	5582	3654
Tue Mar 31 11:28:05 2020	1585628885	1904	3687	5591	3670
Tue Mar 31 11:28:05 2020	1585628885	1905	3695	5600	3688
Tue Mar 31 11:28:05 2020	1585628885	1903	3700	5603	3692
Tue Mar 31 11:28:05 2020	1585628885	1903	3703	5606	3698
Tue Mar 31 11:28:05 2020	1585628885	1902	3709	5611	3702
Tue Mar 31 11:28:05 2020	1585628885	1905	3719	5623	3711
Tue Mar 31 11:28:05 2020	1585628885	1904	3719	5624	3713
Tue Mar 31 11:28:05 2020	1585628885	1907	3719	5625	3710
Tue Mar 31 11:28:05 2020	1585628885	1905	3736	5641	3731
Tue Mar 31 11:28:05 2020	1585628885	1908	3744	5651	3332
Tue Mar 31 11:28:05 2020	1585628885	1906	3757	5662	3344
Tue Mar 31 11:28:05 2020	1585628885	5224	573	5798	571
Tue Mar 31 11:28:05 2020	1585628885	5222	576	5798	574
Tue Mar 31 11:28:05 2020	1585628885	4404	1395	5799	1381
Tue Mar 31 11:28:05 2020	1585628885	4402	1397	5799	1396
Tue Mar 31 11:28:05 2020	1585628885	3557	2242	5800	2228
Tue Mar 31 11:28:05 2020	1585628885	4404	1396	5800	1381
Tue Mar 31 11:28:05 2020	1585628885	4404	1396	5801	1394
Tue Mar 31 11:28:05 2020	1585628885	4404	1397	5801	1394
Tue Mar 31 11:28:05 2020	1585628885	3558	2243	5801	2241
Tue Mar 31 11:28:05 2020	1585628885	4408	1394	5802	1393
Tue Mar 31 11:28:05 2020	1585628885	1899	3903	5802	3901
Tue Mar 31 11:28:05 2020	1585628885	4407	1395	5802	1393
Tue Mar 31 11:28:05 2020	1585628885	1902	3903	5805	3902
Tue Mar 31 11:28:05 2020	1585628885	3563	2243	5806	2242
Tue Mar 31 11:28:05 2020	1585628885	4410	1396	5807	1395
Tue Mar 31 11:28:05 2020	1585628885	4411	1397	5808	1395
Tue Mar 31 11:28:05 2020	1585628885	1906	3905	5811	3903
Tue Mar 31 11:28:05 2020	1585628885	1908	3904	5812	3903
Tue Mar 31 11:28:05 2020	1585628885	1906	3906	5812	3904
Tue Mar 31 11:28:05 2020	1585628885	1908	3904	5812	3890
Tue Mar 31 11:28:05 2020	1585628885	4424	1393	5818	1392
Tue Mar 31 11:28:05 2020	1585628885	1902	3922	5823	3333
Tue Mar 31 11:28:05 2020	1585628885	1901	3927	5827	3801
Tue Mar 31 11:28:05 2020	1585628885	1907	3920	5827	3338
Tue Mar 31 11:28:05 2020	1585628885	1904	3925	5830	3336
Tue Mar 31 11:28:05 2020	1585628885	1909	3921	5830	3338
Tue Mar 31 11:28:05 2020	1585628885	1904	3927	5830	3720
Tue Mar 31 11:28:05 2020	1585628885	1905	3926	5830	3709
Tue Mar 31 11:28:05 2020	1585628885	1904	3926	5831	3801
Tue Mar 31 11:28:05 2020	1585628885	1903	3928	5831	3890
Tue Mar 31 11:28:05 2020	1585628885	1906	3925	5831	3728
Tue Mar 31 11:28:05 2020	1585628885	1904	3927	5832	3802
Tue Mar 31 11:28:05 2020	1585628885	1902	3930	5832	3906
Tue Mar 31 11:28:05 2020	1585628885	1906	3926	5832	3340
Tue Mar 31 11:28:05 2020	1585628885	1905	3927	5832	3729
Tue Mar 31 11:28:05 2020	1585628885	1904	3928	5833	3803
Tue Mar 31 11:28:05 2020	1585628885	1905	3927	5833	3712
Tue Mar 31 11:28:05 2020	1585628885	1905	3927	5833	3745
Tue Mar 31 11:28:05 2020	1585628885	1903	3930	5833	3904
Tue Mar 31 11:28:05 2020	1585628885	1905	3928	5833	3811
Tue Mar 31 11:28:05 2020	1585628885	1905	3929	5833	3802
Tue Mar 31 11:28:05 2020	1585628885	1906	3928	5833	3343
Tue Mar 31 11:28:05 2020	1585628885	1906	3928	5834	3712
Tue Mar 31 11:28:05 2020	1585628885	1903	3932	5835	3889
Tue Mar 31 11:28:05 2020	1585628885	1906	3929	5835	3736
Tue Mar 31 11:28:05 2020	1585628885	1904	3931	5835	3892
Tue Mar 31 11:28:05 2020	1585628885	1904	3931	5835	3892
Tue Mar 31 11:28:05 2020	1585628885	1906	3929	5835	3801
Tue Mar 31 11:28:05 2020	1585628885	1906	3930	5835	3891
Tue Mar 31 11:28:05 2020	1585628885	1907	3929	5836	3803
Tue Mar 31 11:28:05 2020	1585628885	1905	3931	5836	3626
Tue Mar 31 11:28:05 2020	1585628885	1906	3931	5837	3804
Tue Mar 31 11:28:05 2020	1585628885	1907	3931	5837	3803
Tue Mar 31 11:28:05 2020	1585628885	1904	3933	5838	3920
Tue Mar 31 11:28:05 2020	1585628885	1907	3931	5838	3747
Tue Mar 31 11:28:05 2020	1585628885	1906	3932	5838	3626
Tue Mar 31 11:28:05 2020	1585628885	1907	3932	5839	3919
Tue Mar 31 11:28:05 2020	1585628885	1906	3934	5840	3894
Tue Mar 31 11:28:05 2020	1585628885	1907	3934	5841	3626
Tue Mar 31 11:28:05 2020	1585628885	1904	3944	5849	3884
Tue Mar 31 11:28:05 2020	1585628885	1900	3949	5849	3892
Tue Mar 31 11:28:05 2020	1585628885	1900	3950	5850	3944
Tue Mar 31 11:28:05 2020	1585628885	1901	3950	5850	3944
Tue Mar 31 11:28:05 2020	1585628885	1905	3948	5852	3890
Tue Mar 31 11:28:05 2020	1585628885	1903	3949	5853	3891
Tue Mar 31 11:28:05 2020	1585628885	1906	3947	5853	3627
Tue Mar 31 11:28:05 2020	1585628885	1902	3952	5855	3891
Tue Mar 31 11:28:05 2020	1585628885	1903	3952	5856	3891
Tue Mar 31 11:28:05 2020	1585628885	1905	3951	5856	3645
Tue Mar 31 11:28:05 2020	1585628885	1907	3950	5857	3631
Tue Mar 31 11:28:05 2020	1585628885	1907	3949	5857	3646
Tue Mar 31 11:28:05 2020	1585628885	1904	3954	5859	3893
Tue Mar 31 11:28:05 2020	1585628885	1907	3957	5864	3891
Tue Mar 31 11:28:05 2020	1585628885	1910	3957	5867	3631
Tue Mar 31 11:28:05 2020	1585628885	5520	762	6282	758
Tue Mar 31 11:28:05 2020	1585628885	5522	762	6284	759
Tue Mar 31 11:28:05 2020	1585628885	5530	762	6292	759
Tue Mar 31 11:28:05 2020	1585628885	5519	981	6500	762
Tue Mar 31 11:28:05 2020	1585628885	5519	982	6501	762
Tue Mar 31 11:28:05 2020	1585628885	5519	982	6501	762
Tue Mar 31 11:28:05 2020	1585628885	5519	982	6501	762
Tue Mar 31 11:28:05 2020	1585628885	5520	981	6501	762
Tue Mar 31 11:28:05 2020	1585628885	5520	981	6501	762
Tue Mar 31 11:28:05 2020	1585628885	5521	983	6504	827
Tue Mar 31 11:28:05 2020	1585628885	5521	983	6505	828
Tue Mar 31 11:28:05 2020	1585628885	5523	982	6505	763
Tue Mar 31 11:28:05 2020	1585628885	5523	982	6505	762
Tue Mar 31 11:28:05 2020	1585628885	5538	967	6505	748
Tue Mar 31 11:28:05 2020	1585628885	5525	982	6507	762
Tue Mar 31 11:28:05 2020	1585628885	5525	984	6509	828
Tue Mar 31 11:28:05 2020	1585628885	5530	983	6513	763
Tue Mar 31 11:28:05 2020	1585628885	1910	4612	6522	3645
Tue Mar 31 11:28:06 2020	1585628886	3886	2763	6649	1843
Tue Mar 31 11:28:06 2020	1585628886	3886	2763	6649	1843
Tue Mar 31 11:28:05 2020	1585628885	1901	4875	6776	3643
Tue Mar 31 11:28:05 2020	1585628885	1901	4880	6781	3929
Tue Mar 31 11:28:05 2020	1585628885	1905	4879	6784	3919
Tue Mar 31 11:28:05 2020	1585628885	1907	4884	6791	3923
Tue Mar 31 11:28:05 2020	1585628885	1908	5067	6974	3954
